Full Name,"LastName, FirstName",Institution Name
Aaron Barth,"Barth, Aaron",California Institute of Technology
Aaron Boley,"Boley, Aaron",University of Florida
Aaron Meisner,"Meisner, Aaron",California Institute of Technology
Aaron Smith,"Smith, Aaron",Massachusetts Institute of Technology
Adam Burgasser,"Burgasser, Adam",University of California Los Angeles
Adam Burgasser,"Burgasser, Adam",American Museum of Natural History
Adam Frank,"Frank, Adam",University of Minnesota
Adam Kraus,"Kraus, Adam",University of Hawaii
Adam Leroy,"Leroy, Adam",National Radio Astronomy Observatory
Adam Miller,"Miller, Adam",Jet Propulsion Laboratory
Adi Zitrin,"Zitrin, Adi",California Institute of Technology
Adrian Liu,"Liu, Adrian",University of California Berkeley
Akos Bogdan,"Bogdan, Akos",Center for Astrophysics
Aleksander Sadowski,"Sadowski, Aleksander",Massachusetts Institute of Technology
Aleksandra Kuznetsova,"Kuznetsova, Aleksandra",American Museum of Natural History
Alexander Ji,"Ji, Alexander",Carnegie Observatories
Alexander Philippov,"Philippov, Alexander",University of California Berkeley
Alexandra Pope,"Pope, Alexandra",National Optical Astronomy Observatory
Alexandra Tetarenko,"Tetarenko, Alexandra",Texas Tech University
