unitid,name,city,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement,Leadership for Public Practice,2025 Research Activity Designation,"139 results for  all categories"
222178,"Abilene Christian University","Abilene","TX","Four or more years","Private not-for-profit","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective lower transfer-in","Four-year medium highly residential","Doctoral Universities Doctoral/Professional Universities","Not Classified","","Research 2: High Research Spending and Doctorate Production"
200697,"Air Force Institute of Technology-Graduate School of Engineering & Management","Wright-Patterson AFB","OH","Four or more years","Public","Not Classified (Exclusively Graduate Programs)","Research Doctoral STEM-dominant","Exclusively graduate","Not classified (Exclusively Graduate)","Exclusively graduate/professional","Doctoral Universities High Research Activity","Not Classified","","Research 2: High Research Spending and Doctorate Production"
385415,"Albert Einstein College of Medicine","Bronx","NY","Four or more years","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral STEM-dominant","Exclusively graduate","Not classified (Exclusively Graduate)","Exclusively graduate/professional","Special Focus Four-Year Research Institution","Not Classified","","Research 2: High Research Spending and Doctorate Production"
197869,"Appalachian State University","Boone","NC","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Single program Education","Very high undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Master's Colleges & Universities Larger Programs","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
106458,"Arkansas State University","Jonesboro","AR","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year medium full-time selective higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified","","Research 2: High Research Spending and Doctorate Production"
482149,"Augusta University","Augusta","GA","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral STEM-dominant","Majority undergraduate","Four-year full-time selective higher transfer-in","Four-year medium primarily nonresidential","Doctoral Universities High Research Activity","Not Classified","","Research 2: High Research Spending and Doctorate Production"
109785,"Azusa Pacific University","Azusa","CA","Four or more years","Private not-for-profit","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time inclusive higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
150136,"Ball State University","Muncie","IN","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
142115,"Boise State University","Boise","ID","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year medium full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified or Reclassified in 2024","Classified","Research 2: High Research Spending and Doctorate Production"
201441,"Bowling Green State University-Main Campus","Bowling Green","OH","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time selective lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
110529,"California State Polytechnic University-Pomona","Pomona","CA","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Single program Education","Very high undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Master's Colleges & Universities Larger Programs","Not Classified","","Research 2: High Research Spending and Doctorate Production"
110556,"California State University-Fresno","Fresno","CA","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Single program Education","Very high undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","Classified","Research 2: High Research Spending and Doctorate Production"
110565,"California State University-Fullerton","Fullerton","CA","Four or more years","Public","Balanced arts & sciences/professions high graduate coexistence","Research Doctoral Single program Education","Very high undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
110583,"California State University-Long Beach","Long Beach","CA","Four or more years","Public","Balanced arts & sciences/professions high graduate coexistence","Research Doctoral Single program Education","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified or Reclassified in 2020/2015","","Research 2: High Research Spending and Doctorate Production"
