Institution,MSI Classification,Research Classification
Alabama A&M University,HBCU,R2
Alabama State University,HBCU,R2
Albany State University,HBCU,R2
Alcorn State University,HBCU,R2
Allen University,HBCU,4Y
American Baptist College,HBCU,4Y
Arkansas Baptist College,HBCU,4Y
Benedict College,HBCU,4Y
Bennett College,HBCU,4Y
Bethune-Cookman University,HBCU,4Y
Bishop State Community College,HBCU,
Bluefield State University,HBCU,4Y
Bowie State University,HBCU,R2
Central State University,HBCU,4Y
Cheyney University of Pennsylvania,HBCU,4Y
Claflin University,HBCU,4Y
Clark Atlanta University,HBCU,R2
Clinton College,HBCU,4Y
Coahoma Community College,HBCU,
Coppin State University,HBCU,R2
Delaware State University,HBCU,R2
Denmark Technical College,HBCU,
Dillard University,HBCU,4Y
Edward Waters College,HBCU,4Y
Elizabeth City State University,HBCU,4Y
Fayetteville State University,HBCU,R2
Fisk University,HBCU,4Y
Florida Agricultural and Mechanical University,HBCU,R2
Florida Memorial University,HBCU,4Y
Fort Valley State University,HBCU,R2
Gadsden State Community College,HBCU,
Grambling State University,HBCU,R2
H Councill Trenholm State Community College,HBCU,
Hampton University,HBCU,R2
Harris-Stowe State University,HBCU,4Y
Howard University,HBCU,R2
Huston-Tillotson University,HBCU,4Y
Interdenominational Theological Center,HBCU,4Y
J. F. Drake State Community and Technical College,HBCU,
Jackson State University,HBCU,R2
Jarvis Christian University,HBCU,4Y
Johnson C Smith University,HBCU,4Y
Kentucky State University,HBCU,4Y
Lane College,HBCU,4Y
Langston University,HBCU,R2
Lawson State Community College,HBCU,
Le Moyne-Owen College,HBCU,4Y
Lincoln University (Missouri),HBCU,4Y
Lincoln University (Pennsylvania),HBCU,R2
Livingstone College,HBCU,4Y
Meharry Medical College,HBCU,4Y
Miles College,HBCU,4Y
Mississippi Valley State University,HBCU,R2
Morehouse College,HBCU,4Y
Morehouse School of Medicine,HBCU,4Y
Morgan State University,HBCU,R2
Morris College,HBCU,4Y
Norfolk State University,HBCU,R2
North Carolina A & T State University,HBCU,R2
North Carolina Central University,HBCU,R2
Oakwood University,HBCU,4Y
Paine College,HBCU,4Y
Paul Quinn College,HBCU,4Y
Philander Smith College,HBCU,4Y
Prairie View A & M University,HBCU,R2
Rust College,HBCU,4Y
Saint Augustine's University,HBCU,4Y
Savannah State University,HBCU,R2
Shaw University,HBCU,4Y
Shelton State Community College,HBCU,
Shorter College,HBCU,
Simmons College of Kentucky,HBCU,4Y
South Carolina State University,HBCU,R2
Southern University and A & M College,HBCU,R2
Southern University at New Orleans,HBCU,R2
Southern University at Shreveport,HBCU,
Southern University Law Center,HBCU,
Southwestern Christian College,HBCU,
Spelman College,HBCU,4Y
St Philip's College,HBCU,
Stillman College,HBCU,4Y
Talladega College,HBCU,4Y
Tennessee State University,HBCU,R2
Texas College,HBCU,4Y
Texas Southern University,HBCU,R2
Tougaloo College,HBCU,4Y
Tuskegee University,HBCU,R2
University of Arkansas at Pine Bluff,HBCU,4Y
University of Maryland Eastern Shore,HBCU,R2
University of the District of Columbia,HBCU,R2
University of the District of Columbia-David A Clarke School of Law,HBCU,
University of the Virgin Islands,HBCU,R2
Virginia State University,HBCU,R2
Virginia Union University,HBCU,4Y
Virginia University of Lynchburg,HBCU,4Y
Voorhees University,HBCU,4Y
West Virginia State University,HBCU,R2
Wilberforce University,HBCU,4Y
Wiley College,HBCU,4Y
Winston-Salem State University,HBCU,R2
Xavier University of Louisiana,HBCU,R2
