Institution,MSI Classification,Research Classification
Angelo State University,HSI,R2
California Lutheran University,HSI,R2
California State Polytechnic University,HSI,R2
California State University-Bakersfield,HSI,R2
California State University-Channel Islands,HSI,R2
California State University-Chico,HSI,R2
California State University-Dominguez Hills,HSI,R2
California State University-East Bay,HSI,R2
California State University-Fresno,HSI,R2
California State University-Fullerton,HSI,R2
California State University-Long Beach,HSI,R2
California State University-Los Angeles,HSI,R2
California State University-Northridge,HSI,R2
California State University-Sacramento,HSI,R2
California State University-San Bernardino,HSI,R2
California State University-San Marcos,HSI,R2
California State University-Stanislaus,HSI,R2
College of Staten Island CUNY,HSI,R2
CUNY City College,HSI,R2
CUNY Hunter College,HSI,R2
CUNY Queens College,HSI,R2
CUNY York College,HSI,R2
Florida Atlantic University,HSI,R2
Florida International University,HSI,R1
Houston Baptist University,HSI,R2
California State Polytechnic University-Humboldt,HSI,R2
McMurry University,HSI,4Y
Montclair State University,HSI,R2
New Mexico Institute of Mining and Technology,HSI,R2
New Mexico State University-Main Campus,HSI,R2
Northeastern Illinois University,HSI,R2
Saint Mary's College of California,HSI,R2
Saint Peter's University,HSI,R2
San Diego State University,HSI,R2
San Francisco State University,HSI,R2
San Jose State University,HSI,R2
Sonoma State University,HSI,R2
St. Mary's University,HSI,R2
Texas Lutheran University,HSI,4Y
Texas State University,HSI,R2
The University of Texas at Arlington,HSI,R1
The University of Texas at El Paso ,HSI,R1
The University of Texas at San Antonio,HSI,R1
The University of Texas Rio Grande Valley,HSI,R2
University of Arizona,HSI,R1
University of California-Irvine,HSI,R1
University of California-Merced,HSI,R2
University of California-Riverside,HSI,R1
University of California-Santa Barbara,HSI,R1
University of California-Santa Cruz,HSI,R1
University of Central Florida,HSI,R1
University of Houston,HSI,R1
University of Houston-Clear Lake,HSI,R2
University of Illinois Chicago,HSI,R1
University of La Verne,HSI,R2
University of Nevada-Las Vegas,HSI,R1
University of Puerto Rico-Humanco,HSI,4Y
University of Puerto Rico-Mayaguez,HSI,R2
University of Puerto Rico-Rio Piedras,HSI,R2
University of Redlands,HSI,R2
West Texas A & M University,HSI,R2
Whittier College,HSI,4Y
